id,unique,value
Germany,Germany5,16
Germany,Germany99,30
Germany,Germany74,16
Germany,Germany73,40
Germany,Germany78,47
Germany,Germany73,11
Germany,Germany5,57
Germany,Germany63,59
Germany,Germany9,11
Germany,Germany70,49
Germany,Germany16,100
Germany,Germany51,1
Germany,Germany25,52
Germany,Germany89,66
Germany,Germany93,80
Italy,Italy78,7
Italy,Italy88,59
Italy,Italy43,85
Italy,Italy47,70
Italy,Italy97,83
Italy,Italy38,90
Italy,Italy55,47
Italy,Italy93,71
Italy,Italy81,91
Italy,Italy41,65
Italy,Italy5,78
Italy,Italy90,19
Italy,Italy69,78
Italy,Italy49,59
Italy,Italy92,91
Italy,Italy65,36
UK,UK61,48
UK,UK66,18
UK,UK48,32
UK,UK77,65
UK,UK56,34
UK,UK62,36
UK,UK0,83
UK,UK35,63
UK,UK31,2
UK,UK82,55
UK,UK91,68
UK,UK35,73
UK,UK22,18
UK,UK60,41
UK,UK23,75
UK,UK43,54
UK,UK78,23
UK,UK37,9
UK,UK58,14
Spain,Spain61,17
Spain,Spain29,80
Spain,Spain87,50
Spain,Spain56,25
Spain,Spain49,73
Spain,Spain74,87
Spain,Spain37,45
Spain,Spain67,23
Spain,Spain61,81
Spain,Spain11,16
Spain,Spain60,16
Spain,Spain39,29
Spain,Spain59,65
Spain,Spain56,46
Spain,Spain22,94
Spain,Spain23,77
Spain,Spain81,40
Spain,Spain22,14
Spain,Spain43,30
Spain,Spain38,39
Spain,Spain53,66
Spain,Spain80,32
Spain,Spain21,24
Spain,Spain85,71
Spain,Spain85,65
Spain,Spain73,95
Spain,Spain10,98
Spain,Spain84,65
Spain,Spain59,51
Spain,Spain30,69
Spain,Spain33,67
Spain,Spain88,87
Spain,Spain51,34
Spain,Spain63,65
Spain,Spain35,33
Spain,Spain49,72
Spain,Spain35,42
Spain,Spain44,27
Spain,Spain64,59
Spain,Spain51,47
Spain,Spain86,58
Spain,Spain27,31
Spain,Spain28,76
Spain,Spain2,35
Spain,Spain53,0
Spain,Spain6,7
Spain,Spain74,31
Spain,Spain8,6
Spain,Spain94,37
Spain,Spain55,39
Spain,Spain34,92
Spain,Spain95,98
Spain,Spain6,25
Spain,Spain3,14
Spain,Spain60,28
Spain,Spain48,96
Spain,Spain89,68
Spain,Spain82,98
Spain,Spain94,21
Spain,Spain5,26
Spain,Spain1,80
Spain,Spain58,7
Spain,Spain53,8
Spain,Spain79,64
Spain,Spain5,37
Spain,Spain69,26
Spain,Spain31,49
Spain,Spain47,41
Spain,Spain85,15
Spain,Spain83,80
Spain,Spain6,20
Spain,Spain92,58
Spain,Spain11,43
Spain,Spain85,88
Spain,Spain4,85
Spain,Spain27,51
Spain,Spain61,29
Spain,Spain32,81
Spain,Spain94,10
Spain,Spain55,67
Spain,Spain30,2
Spain,Spain41,38
Spain,Spain8,77
Spain,Spain20,17
Spain,Spain28,3
Spain,Spain49,45
Spain,Spain21,7
Spain,Spain75,18
Spain,Spain11,90
Spain,Spain34,83
Spain,Spain59,89
Spain,Spain33,96
Spain,Spain72,43
Spain,Spain2,97
Spain,Spain94,82
Spain,Spain61,68
Spain,Spain48,95
Spain,Spain73,19
Spain,Spain13,36
Spain,Spain1,4
Spain,Spain82,61
Spain,Spain20,54
Spain,Spain10,20
Spain,Spain35,89
Spain,Spain17,49
Spain,Spain42,56
Spain,Spain55,75
Spain,Spain34,54
Spain,Spain29,29
Spain,Spain67,12
Spain,Spain43,77
Spain,Spain96,53
Spain,Spain59,68
Spain,Spain74,30
Spain,Spain3,68
Spain,Spain67,69
Spain,Spain87,24
Spain,Spain77,17
France,France33,22
France,France80,82
France,France4,80
France,France36,63
France,France42,70
France,France55,74
France,France56,68
France,France68,62
France,France36,17
France,France20,21
France,France25,49
France,France60,37
France,France66,24
France,France8,16
France,France3,4
France,France59,46
France,France67,61
France,France49,33
France,France2,74
France,France47,29
France,France83,90
France,France42,12
France,France54,92
France,France64,98
France,France2,44
France,France91,58
France,France29,6
France,France16,71
France,France31,11
France,France46,90
France,France46,30
France,France5,57
France,France41,11
France,France67,25
France,France93,12
France,France53,21
France,France17,5
France,France11,21
France,France65,87
France,France62,64
France,France3,11
France,France7,100
France,France53,60
France,France14,76
France,France57,0
France,France17,85
France,France71,81
France,France40,60
France,France47,5
France,France60,91
France,France97,57
France,France69,45
France,France89,9
France,France93,10
France,France45,88
France,France69,79
France,France40,22
France,France30,49
France,France88,35
France,France77,96
France,France61,64
France,France32,81
France,France75,23
France,France30,54
France,France81,85
France,France40,94
Belgium,Belgium89,16
Belgium,Belgium19,1
Belgium,Belgium86,3
Belgium,Belgium71,69
Belgium,Belgium77,4
Belgium,Belgium83,26
Belgium,Belgium21,31
Belgium,Belgium81,20
Belgium,Belgium77,64
Belgium,Belgium62,49
Belgium,Belgium9,84
Belgium,Belgium25,21
Belgium,Belgium16,87
Belgium,Belgium57,70
Belgium,Belgium9,54
Belgium,Belgium46,39
Belgium,Belgium54,97
Belgium,Belgium76,36
